"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","light","dance","time","youre","home","eyes","baby","die","heart","head","day","night","love","world","girl"
"2","sun","play","life","ive","walk","hold","blue","god","fall","dead","ill","dream","tonight","people","shes"
"3","sky","city","live","youve","talk","hand","gotta","fight","lie","fool","waiting","run","sing","stand","hes"
"4","dark","gun","mind","chorus","theyre","lost","ride","kill","inside","carry","leave","hear","song","watch","boy"
"5","rain","white","change","care","road","cry","move","hate","words","wear","youll","call","roll","weve","bad"
"6","black","hit","hard","wrong","didnt","remember","alright","blood","feeling","throw","stay","stop","kiss","beautiful","woman"
"7","fly","drink","free","lose","sit","breath","real","war","burn","skin","hope","coming","rock","wall","hell"
"8","shine","floor","line","friend","round","miss","drive","angel","break","fucking","forget","sleep","sweet","pull","happy"
"9","stars","laugh","mine","takes","street","forever","pretty","lord","left","ready","save","morning","bring","answer","whos"
"10","wind","drop","set","whats","town","lonely","shake","death","fire","body","chance","late","true","blind","fun"
"11","sea","car","alive","easy","door","close","goin","mother","pain","dog","till","sound","goodbye","step","makes"
"12","water","smoke","waste","matter","kids","tears","mama","king","soul","win","tomorrow","wake","music","strange","shell"
"13","moon","cool","cross","guess","house","touch","crazy","born","broken","push","meet","listen","heart","million","evil"
"14","cold","game","low","understand","money","fade","honey","child","learn","fill","pass","heard","heaven","blame","whoa"
"15","grow","shot","fine","thinking","stone","lay","wheel","pray","start","bone","someday","train","arms","bit","daddy"
"16","summer","party","shame","speak","shut","reach","worry","children","hurt","brain","follow","voice","wonderful","future","ball"
"17","rise","send","realize","doesnt","buy","lover","hot","peace","hide","bed","belong","wild","feet","move","poor"
"18","tree","start","giving","anymore","miles","moment","babe","power","deep","shit","youd","tired","bells","plan","guy"
"19","wave","hero","die","found","gold","left","comin","brother","promise","sick","smile","light","soul","question","shed"
"20","river","pay","feeling","happen","sign","memories","nothin","jesus","control","eat","stand","thousand","darling","cover","hair"
